interaction_id,timestamp_utc,use_case,model_provider,model_name,cost_usd,latency_ms,proba_failure,action_review
INT002642,2025-03-03 17:07:05+00:00,customer_support,anthropic,claude-3.5-sonnet,0.10592,1283,0.4168712851992712,True
INT007583,2025-04-01 15:06:12+00:00,data_analysis,google,gemini-1.5-pro,0.04288,1021,0.41324927667731776,True
INT005330,2025-04-17 17:44:42+00:00,data_analysis,local,custom-local-8b,0.00308,762,0.4123061853846189,True
INT002824,2025-03-21 09:16:20+00:00,data_analysis,meta,llama-3.1-70b,0.3822,1984,0.41146217007508795,True
INT001574,2025-04-20 16:12:37+00:00,coding_assistant,meta,llama-3.1-70b,0.2348,1236,0.4106831760905005,True
INT008114,2025-04-17 17:52:08+00:00,data_analysis,google,gemini-1.5-pro,0.14048,1005,0.4105496413934657,True
INT003148,2025-04-01 15:47:11+00:00,coding_assistant,anthropic,claude-3.5-sonnet,0.53344,774,0.4101467472615546,True
INT005413,2025-02-12 09:42:32+00:00,data_analysis,anthropic,claude-3.5-sonnet,0.3376,1139,0.40992094186499706,True
INT006151,2025-02-17 17:19:10+00:00,customer_support,local,custom-local-8b,0.00628,1634,0.4096092409990433,True
INT000612,2025-02-17 16:47:34+00:00,customer_support,anthropic,claude-3.5-sonnet,0.33568,843,0.40916010114350343,True
INT003465,2025-03-13 07:24:54+00:00,coding_assistant,openai,gpt-4o-mini,0.0192,1108,0.4069855934009656,True
INT000160,2025-04-20 16:05:06+00:00,coding_assistant,meta,llama-3.1-8b,0.03896,1803,0.4066182806485068,True
INT001687,2025-04-08 09:58:42+00:00,data_analysis,mistral,mistral-large,0.2063999999999999,1557,0.40643827850097514,True
INT007827,2025-04-14 23:32:16+00:00,data_analysis,openai,gpt-4.1,0.5684,1560,0.40612718482171534,True
INT004529,2025-04-16 08:27:47+00:00,coding_assistant,meta,llama-3.1-70b,0.1716,1319,0.40534082373674435,True
INT007508,2025-04-25 15:34:35+00:00,coding_assistant,meta,llama-3.1-70b,0.1882,1486,0.4048401110660933,True
INT005235,2025-04-22 16:17:20+00:00,coding_assistant,meta,llama-3.1-8b,0.06384,1189,0.40469759693315416,True
INT004479,2025-04-01 15:54:04+00:00,coding_assistant,anthropic,claude-3.5-sonnet,0.6912,792,0.4026537781648181,True
INT005134,2025-04-07 11:20:24+00:00,data_analysis,local,custom-local-8b,0.00548,1020,0.402372900617832,True
INT002810,2025-04-20 16:19:57+00:00,coding_assistant,meta,llama-3.1-70b,0.2792,1852,0.4022526766594875,True
INT008964,2025-02-11 08:32:51+00:00,data_analysis,openai,gpt-4o-mini,0.01728,510,0.40097618072123514,True
INT008619,2025-03-13 07:37:43+00:00,coding_assistant,meta,llama-3.1-70b,0.1768,1296,0.40065376909127043,True
INT004551,2025-04-18 08:15:08+00:00,coding_assistant,meta,llama-3.1-70b,0.2704,1016,0.39991808850208127,True
INT003702,2025-03-03 17:08:16+00:00,customer_support,openai,gpt-4o-mini,0.02144,1360,0.3986336731745683,True
INT004910,2025-04-23 12:55:04+00:00,coding_assistant,meta,llama-3.1-70b,0.082,1306,0.39637805442023927,True
INT001071,2025-04-13 22:05:58+00:00,coding_assistant,meta,llama-3.1-70b,0.161,610,0.3963424662935619,True
INT001397,2025-04-08 15:34:12+00:00,coding_assistant,meta,llama-3.1-8b,0.07104,833,0.3949729175824627,True
INT008929,2025-04-16 08:45:47+00:00,coding_assistant,mistral,mistral-large,0.06276,740,0.3949518297211238,True
INT007459,2025-03-31 19:49:40+00:00,coding_assistant,openai,gpt-4.1,0.3728,1942,0.39449470077896454,True
INT002627,2025-04-25 15:22:18+00:00,coding_assistant,openai,gpt-4.1,0.4316,1163,0.39435552489159764,True
INT001684,2025-04-21 01:12:51+00:00,data_analysis,google,gemini-1.5-pro,0.29408,885,0.3943437527852899,True
INT004078,2025-03-22 14:11:55+00:00,coding_assistant,openai,gpt-4o-mini,0.0141599999999999,1567,0.39387184211020315,True
INT002650,2025-03-21 10:38:16+00:00,coding_assistant,mistral,mistral-large,0.01248,862,0.39357055081069053,True
INT003978,2025-04-24 14:24:23+00:00,data_analysis,google,gemini-1.5-pro,0.40256,1113,0.39246527629549555,True
INT000949,2025-04-23 12:22:22+00:00,coding_assistant,openai,gpt-4o-mini,0.03372,1254,0.39238721665988396,True
INT008147,2025-04-22 04:24:01+00:00,data_analysis,google,gemini-1.5-pro,0.3392,1939,0.39206669664089844,True
INT004892,2025-03-04 19:49:34+00:00,coding_assistant,openai,gpt-4o-mini,0.02624,1813,0.39201350111674016,True
INT006544,2025-02-11 08:26:56+00:00,data_analysis,openai,gpt-4.1,0.6868000000000001,1435,0.3918628884249649,True
INT000073,2025-03-04 08:32:10+00:00,data_analysis,openai,gpt-4.1,0.2004,1391,0.39105948416407,True
INT000238,2025-02-10 06:08:16+00:00,coding_assistant,meta,llama-3.1-70b,0.1163999999999999,821,0.3905407670964388,True
INT005384,2025-04-01 20:11:33+00:00,coding_assistant,google,gemini-1.5-pro,0.39136,831,0.3885465603628639,True
INT005761,2025-03-21 09:49:43+00:00,data_analysis,meta,llama-3.1-70b,0.3077999999999999,1190,0.3881045857603152,True
INT007248,2025-03-23 10:12:21+00:00,coding_assistant,anthropic,claude-3.5-sonnet,0.56096,1012,0.3876934302122113,True
INT008555,2025-04-01 15:08:01+00:00,data_analysis,anthropic,claude-3.5-sonnet,0.5187200000000001,1225,0.3876351674609679,True
INT006993,2025-03-21 09:57:38+00:00,data_analysis,anthropic,claude-3.5-sonnet,0.5424,2778,0.3872065753149156,True
INT007619,2025-02-17 10:06:10+00:00,coding_assistant,local,custom-local-8b,0.0026,1307,0.387173902319764,True
INT000528,2025-03-31 16:32:23+00:00,coding_assistant,mistral,mistral-large,0.09096,1232,0.38631672790279104,True
INT001064,2025-04-23 12:26:09+00:00,coding_assistant,local,custom-local-8b,0.0038799999999999,902,0.38629277734976647,True
INT008794,2025-03-11 10:50:13+00:00,coding_assistant,mistral,mistral-large,0.08076,1000,0.3861461895682955,True
INT003367,2025-03-06 21:22:35+00:00,data_analysis,anthropic,claude-3.5-sonnet,0.53024,997,0.3859853849480179,True
INT007586,2025-03-15 03:08:16+00:00,coding_assistant,google,gemini-1.5-pro,0.12576,1260,0.3859535666416529,True
INT007798,2025-03-04 21:07:32+00:00,coding_assistant,openai,gpt-4.1,0.4204,994,0.3859246192492227,True
INT007303,2025-03-03 17:14:07+00:00,customer_support,local,custom-local-8b,0.00132,1494,0.38575020724809556,True
INT006135,2025-03-04 08:14:29+00:00,coding_assistant,local,custom-local-8b,0.0017599999999999,1122,0.38529106026082177,True
INT000713,2025-03-03 16:55:15+00:00,customer_support,meta,llama-3.1-8b,0.0826799999999999,1134,0.38527360543619316,True
INT003971,2025-04-23 12:52:11+00:00,coding_assistant,anthropic,claude-3.5-sonnet,0.11168,1238,0.38526238986056055,True
INT003570,2025-02-06 18:19:31+00:00,customer_support,meta,llama-3.1-8b,0.02336,874,0.38520144948119245,True
INT008801,2025-04-13 22:41:54+00:00,coding_assistant,openai,gpt-4.1,0.2623999999999999,1765,0.3848044379503893,True
INT008620,2025-03-23 10:50:17+00:00,coding_assistant,anthropic,claude-3.5-sonnet,0.1763199999999999,742,0.3846446224101856,True
INT006339,2025-03-01 15:42:31+00:00,customer_support,openai,gpt-4o-mini,0.0194,2151,0.38430764115206806,True
INT002552,2025-04-13 22:07:00+00:00,coding_assistant,anthropic,claude-3.5-sonnet,0.3888,454,0.3837157104543044,True
INT008220,2025-03-11 10:30:49+00:00,coding_assistant,local,custom-local-8b,0.00208,1600,0.38348020648843845,True
INT001708,2025-02-09 03:39:59+00:00,customer_support,local,custom-local-8b,0.0033599999999999,603,0.38289116008361546,True
INT002585,2025-04-15 11:21:21+00:00,coding_assistant,anthropic,claude-3.5-sonnet,0.15136,792,0.3828564241496908,True
INT008386,2025-02-04 17:40:45+00:00,internal_qa,google,gemini-1.5-pro,0.12544,777,0.38285370287249576,True
INT004691,2025-03-11 09:46:26+00:00,coding_assistant,google,gemini-1.5-pro,0.15424,1015,0.382841368897869,True
INT004373,2025-04-16 07:49:57+00:00,coding_assistant,meta,llama-3.1-70b,0.2292,1265,0.382397830434132,True
INT006090,2025-03-23 10:03:29+00:00,coding_assistant,anthropic,claude-3.5-sonnet,0.10624,903,0.3821465770522392,True
INT008499,2025-02-25 10:47:29+00:00,data_analysis,google,gemini-1.5-pro,0.4367999999999999,2233,0.38210758287548163,True
INT001175,2025-03-22 14:06:42+00:00,coding_assistant,meta,llama-3.1-70b,0.2448,1091,0.3817137427827743,True
INT008648,2025-03-21 10:46:08+00:00,coding_assistant,meta,llama-3.1-8b,0.04248,1218,0.3815379351418789,True
INT002417,2025-03-21 08:22:54+00:00,data_analysis,google,gemini-1.5-pro,0.4284799999999999,1106,0.3793150420073124,True
INT007236,2025-03-31 19:41:34+00:00,coding_assistant,openai,gpt-4.1,0.4584,723,0.3792857615738818,True
INT007938,2025-04-17 17:48:31+00:00,data_analysis,meta,llama-3.1-70b,0.0334,1313,0.37923131760020495,True
INT007164,2025-03-15 03:04:03+00:00,coding_assistant,anthropic,claude-3.5-sonnet,0.47232,1391,0.37913551712756316,True
INT007171,2025-04-23 13:04:41+00:00,coding_assistant,anthropic,claude-3.5-sonnet,0.26976,1177,0.37899939999422333,True
INT008702,2025-02-21 10:08:51+00:00,coding_assistant,mistral,mistral-large,0.1368,1299,0.3787970453150727,True
INT007116,2025-03-06 23:58:18+00:00,coding_assistant,mistral,mistral-large,0.159,1416,0.37864248092635366,True
INT002754,2025-02-23 09:14:59+00:00,data_analysis,google,gemini-1.5-pro,0.37792,910,0.37710732857300017,True
INT008143,2025-02-04 16:53:45+00:00,internal_qa,local,custom-local-8b,0.00252,1729,0.3769893313438669,True
INT004668,2025-02-12 04:17:28+00:00,data_analysis,google,gemini-1.5-pro,0.20512,1153,0.3763391174214387,True
INT006079,2025-03-11 09:48:47+00:00,coding_assistant,anthropic,claude-3.5-sonnet,0.13088,941,0.37530584975792125,True
INT008679,2025-02-17 17:50:54+00:00,customer_support,mistral,mistral-large,0.1383599999999999,1742,0.3750107982664499,True
INT008311,2025-02-24 13:50:07+00:00,coding_assistant,openai,gpt-4o-mini,0.01128,1222,0.37497838838536424,True
INT002505,2025-04-14 22:25:12+00:00,data_analysis,anthropic,claude-3.5-sonnet,0.59456,3149,0.37495010640725057,True
INT007150,2025-02-04 07:14:33+00:00,coding_assistant,meta,llama-3.1-8b,0.0882,1030,0.3748132221214914,True
INT004356,2025-04-26 23:47:24+00:00,data_analysis,local,custom-local-8b,0.00472,917,0.374796159935264,True
INT006435,2025-04-14 22:27:20+00:00,data_analysis,mistral,mistral-large,0.13884,1920,0.3745621092817485,True
INT002088,2025-02-23 08:04:53+00:00,data_analysis,anthropic,claude-3.5-sonnet,0.30688,2003,0.37431094330989234,True
INT004956,2025-03-18 13:58:11+00:00,coding_assistant,meta,llama-3.1-70b,0.1774,918,0.37390780855597916,True
INT007487,2025-04-01 16:17:42+00:00,coding_assistant,local,custom-local-8b,0.0042,1272,0.37382993342132254,True
INT006012,2025-03-22 14:19:29+00:00,coding_assistant,anthropic,claude-3.5-sonnet,0.50144,962,0.3729588726192871,True
INT006282,2025-02-12 22:54:25+00:00,coding_assistant,anthropic,claude-3.5-sonnet,0.23744,735,0.37268660431486567,True
INT004933,2025-04-18 08:26:33+00:00,coding_assistant,meta,llama-3.1-70b,0.3184,769,0.37260652213416795,True
INT000661,2025-03-21 16:30:46+00:00,coding_assistant,openai,gpt-4o-mini,0.03992,1659,0.3721046530180888,True
INT005831,2025-03-07 08:01:42+00:00,data_analysis,openai,gpt-4o-mini,0.01044,494,0.37201263378147154,True
INT007436,2025-04-01 14:58:03+00:00,data_analysis,meta,llama-3.1-70b,0.1702,582,0.37141878667040273,True
INT008368,2025-02-27 00:05:52+00:00,customer_support,anthropic,claude-3.5-sonnet,0.00928,991,0.37118925432488875,True
INT005381,2025-03-06 21:24:18+00:00,data_analysis,mistral,mistral-large,0.07692,960,0.37081599418313516,True
INT005215,2025-03-05 14:55:50+00:00,customer_support,openai,gpt-4.1,0.1752,701,0.37072453510387904,True
INT003331,2025-04-18 07:47:23+00:00,coding_assistant,local,custom-local-8b,0.00212,788,0.3706804065599818,True
INT006998,2025-04-21 01:35:04+00:00,data_analysis,openai,gpt-4o-mini,0.01564,1333,0.3705325420449205,True
INT006314,2025-04-25 15:34:28+00:00,coding_assistant,openai,gpt-4o-mini,0.02908,1090,0.3705087679152957,True
INT008645,2025-04-08 17:30:24+00:00,coding_assistant,meta,llama-3.1-70b,0.036,2123,0.37046338556777714,True
INT003133,2025-03-21 09:24:59+00:00,data_analysis,anthropic,claude-3.5-sonnet,0.34496,799,0.370223124212934,True
INT002919,2025-04-08 10:12:42+00:00,data_analysis,google,gemini-1.5-pro,0.2016,1671,0.36988432550121175,True
INT007373,2025-02-04 16:21:15+00:00,internal_qa,google,gemini-1.5-pro,0.1808,1206,0.36855773064944314,True
INT002881,2025-04-09 15:00:48+00:00,coding_assistant,google,gemini-1.5-pro,0.2252799999999999,632,0.36831599025277995,True
INT000276,2025-04-23 12:14:07+00:00,coding_assistant,meta,llama-3.1-70b,0.0756,1077,0.3682196240559271,True
INT002945,2025-02-23 09:27:28+00:00,data_analysis,meta,llama-3.1-8b,0.0888,1699,0.36744365554266284,True
INT002776,2025-03-04 09:08:26+00:00,data_analysis,anthropic,claude-3.5-sonnet,0.34048,870,0.36741131986400455,True
INT000139,2025-04-19 00:16:48+00:00,data_analysis,local,custom-local-8b,0.00288,644,0.36693288144724817,True
INT002427,2025-04-17 17:26:33+00:00,data_analysis,openai,gpt-4.1,0.3572,1593,0.36676203695279436,True
INT002391,2025-04-15 20:46:56+00:00,coding_assistant,meta,llama-3.1-70b,0.1068,784,0.3661441471846919,True
INT005846,2025-02-12 11:14:02+00:00,data_analysis,meta,llama-3.1-70b,0.347,1255,0.36591896019516207,True
INT004647,2025-03-04 09:21:42+00:00,data_analysis,meta,llama-3.1-70b,0.103,643,0.3655988817325678,True
INT007058,2025-04-08 11:12:42+00:00,data_analysis,openai,gpt-4o-mini,0.0141599999999999,1074,0.3644052384385292,True
INT002995,2025-04-11 22:24:16+00:00,internal_qa,local,custom-local-8b,0.0035199999999999,1378,0.364151847199278,True
INT005537,2025-02-17 09:55:50+00:00,coding_assistant,openai,gpt-4o-mini,0.02124,1017,0.36397936540080467,True
INT005445,2025-02-12 09:47:51+00:00,data_analysis,mistral,mistral-large,0.03984,3110,0.36396295612763496,True
INT008321,2025-03-21 10:40:52+00:00,data_analysis,openai,gpt-4o-mini,0.01564,793,0.36377102516389964,True
INT000723,2025-02-12 04:01:13+00:00,data_analysis,local,custom-local-8b,0.0051199999999999,846,0.3630173884682846,True
INT008317,2025-04-09 15:56:41+00:00,coding_assistant,meta,llama-3.1-70b,0.209,765,0.3628596088310168,True
INT007541,2025-02-19 20:32:41+00:00,customer_support,local,custom-local-8b,0.00492,1728,0.36270425430827463,True
INT005395,2025-03-05 15:52:05+00:00,customer_support,local,custom-local-8b,0.00468,877,0.3617644129682433,True
INT003043,2025-03-15 01:10:11+00:00,coding_assistant,openai,gpt-4o-mini,0.02088,1094,0.3615983450388729,True
INT000377,2025-02-04 07:04:46+00:00,coding_assistant,openai,gpt-4.1,0.286,1561,0.36155015706853866,True
INT002567,2025-04-23 12:45:32+00:00,coding_assistant,openai,gpt-4.1,0.6428,827,0.3611797544355449,True
INT002794,2025-04-19 00:18:44+00:00,data_analysis,local,custom-local-8b,0.00172,1271,0.36104161273780827,True
INT000734,2025-03-04 08:13:45+00:00,coding_assistant,google,gemini-1.5-pro,0.38496,1020,0.35999207509252695,True
INT007726,2025-03-22 14:26:49+00:00,coding_assistant,meta,llama-3.1-8b,0.11216,2777,0.3599353661758033,True
INT003970,2025-04-19 00:20:21+00:00,data_analysis,openai,gpt-4.1,0.172,605,0.3593173428931577,True
INT007257,2025-03-06 21:33:03+00:00,data_analysis,mistral,mistral-large,0.12564,1342,0.35926776564007373,True
INT003987,2025-04-22 14:37:00+00:00,coding_assistant,meta,llama-3.1-70b,0.3259999999999999,807,0.3591840304344637,True
INT002815,2025-02-04 16:00:31+00:00,internal_qa,anthropic,claude-3.5-sonnet,0.11456,1727,0.35909684431173683,True
INT003815,2025-03-07 07:42:59+00:00,data_analysis,local,custom-local-8b,0.00188,406,0.35902191182148896,True
INT003603,2025-03-31 18:48:51+00:00,coding_assistant,meta,llama-3.1-70b,0.0498,1009,0.35885730808084726,True
INT000452,2025-04-15 11:00:52+00:00,coding_assistant,openai,gpt-4o-mini,0.01784,603,0.3586412157334789,True
INT004706,2025-04-09 15:16:13+00:00,coding_assistant,meta,llama-3.1-8b,0.0448799999999999,1798,0.35822933316514044,True
INT005124,2025-02-25 09:12:11+00:00,data_analysis,meta,llama-3.1-70b,0.28,752,0.35771827872186596,True
INT003427,2025-04-20 19:57:51+00:00,coding_assistant,google,gemini-1.5-pro,0.10912,678,0.35688931072150326,True
INT006906,2025-03-04 09:47:12+00:00,data_analysis,openai,gpt-4o-mini,0.0296,1332,0.3562876666052734,True
INT005288,2025-03-14 09:22:20+00:00,customer_support,meta,llama-3.1-70b,0.1854,765,0.35611195220628467,True
INT008579,2025-04-20 20:15:18+00:00,coding_assistant,google,gemini-1.5-pro,0.39648,749,0.35594236958231157,True
INT007230,2025-04-08 16:51:40+00:00,coding_assistant,openai,gpt-4.1,0.7235999999999999,711,0.35480965517453467,True
INT002860,2025-03-11 01:26:11+00:00,customer_support,openai,gpt-4o-mini,0.0188,1439,0.35472437948377433,True
INT008497,2025-04-26 23:57:35+00:00,data_analysis,meta,llama-3.1-8b,0.1011199999999999,1253,0.35465532832487734,True
INT007137,2025-04-18 08:43:12+00:00,coding_assistant,local,custom-local-8b,0.00684,1554,0.35336156393319335,True
INT001461,2025-03-04 08:56:05+00:00,data_analysis,openai,gpt-4o-mini,0.0368799999999999,1563,0.3533031196182863,True
INT004131,2025-04-15 12:00:11+00:00,coding_assistant,mistral,mistral-large,0.05772,756,0.35311591598519326,True
INT006119,2025-02-10 09:23:05+00:00,customer_support,google,gemini-1.5-pro,0.05152,1003,0.35277062746402055,True
INT004135,2025-03-05 14:50:09+00:00,customer_support,meta,llama-3.1-70b,0.1936,1802,0.35276589418597615,True
INT002313,2025-04-15 20:45:25+00:00,coding_assistant,openai,gpt-4o-mini,0.02208,943,0.35234698906781375,True
INT003795,2025-03-22 14:11:07+00:00,coding_assistant,google,gemini-1.5-pro,0.12096,2275,0.3522190688779673,True
INT004053,2025-04-22 03:02:18+00:00,data_analysis,openai,gpt-4.1,0.18,1089,0.35149306834937255,True
INT006035,2025-03-19 20:30:20+00:00,internal_qa,google,gemini-1.5-pro,0.06112,1376,0.3514188696959593,True
INT005798,2025-02-24 02:13:44+00:00,internal_qa,meta,llama-3.1-8b,0.03456,1257,0.3510165028700573,True
INT008488,2025-04-01 16:26:30+00:00,coding_assistant,meta,llama-3.1-70b,0.2172,1102,0.35082350239145593,True
INT008239,2025-04-15 20:50:42+00:00,coding_assistant,openai,gpt-4.1,0.1447999999999999,542,0.3507952209316918,True
INT001186,2025-02-12 10:28:19+00:00,data_analysis,openai,gpt-4.1,0.4396,390,0.35046692535726004,True
INT003155,2025-03-11 01:29:44+00:00,customer_support,local,custom-local-8b,0.00296,1619,0.3504326138365436,True
INT002592,2025-03-15 00:43:30+00:00,coding_assistant,mistral,mistral-large,0.12732,1095,0.3504018421567528,True
INT006010,2025-03-15 02:05:29+00:00,coding_assistant,openai,gpt-4o-mini,0.02724,2068,0.35029232907131713,True
INT003973,2025-03-21 16:32:12+00:00,coding_assistant,mistral,mistral-large,0.14832,733,0.35028820470139566,True
